year	count	percent
2021	602	13.462
2020	345	7.715
2019	319	7.133
2022	273	6.105
2018	225	5.031
2016	193	4.316
2015	185	4.137
2014	181	4.047
2017	181	4.047
2013	131	2.929
2011	110	2.460
2009	104	2.326
2012	101	2.258
2008	90	2.013
1985	75	1.677
1984	74	1.655
2010	73	1.632
1983	67	1.498
2007	66	1.476
2006	63	1.409
2004	60	1.342
1986	58	1.297
1987	53	1.185
1998	51	1.140
1988	50	1.118
1982	49	1.096
2003	47	1.051
2002	42	0.939
2005	42	0.939
1989	41	0.917
1999	40	0.894
1997	38	0.850
2000	38	0.850
1990	37	0.827
1993	37	0.827
1981	36	0.805
1991	36	0.805
2001	36	0.805
1995	34	0.760
1994	32	0.716
1992	31	0.693
1996	29	0.648
1978	22	0.492
1979	22	0.492
1980	21	0.470
1976	10	0.224
1974	8	0.179
1975	6	0.134
1977	6	0.134
1973	2	0.045
