"area" "temp" "count"
"NE" 4.73 3
"NE" 10.31 19
"NE" 7.09 14
"NE" 7.55 12
"NE" 7.88 10
"NE" 10.03 25
"NE" 6.96 11
"NE" 9.76 22
"NE" 6.44 15
"NE" 9.91 22
"NE" 6.83 9
"NE" 6 8
"NE" 9.22 19
"NE" 7.79 10
"NE" 5.98 8
"NE" 8.72 13
"NE" 11.19 18
"NE" 11.58 34
"NE" 6.31 9
"NE" 9.65 17
"NW" 15.01 27
"NW" 12.55 11
"NW" 16.25 23
"NW" 14.25 18
"NW" 17.68 26
"NW" 17.32 32
"NW" 15.83 25
"NW" 13.35 19
"NW" 17.16 27
"NW" 15.66 27
"NW" 14.35 33
"NW" 15.05 26
"NW" 14.24 19
"NW" 19.55 32
"NW" 16.42 26
"NW" 16.47 28
"NW" 14.34 19
"NW" 16.79 24
"NW" 13.61 16
"NW" 14.91 27
